Paper,Type,Data_Mgmt,Agentic_Sys,Evaluation,HITL,Infrastructure,Multi_Agent,Provenance
GitLake,Short,2,0,0,1,2,0,0
Walk Before You Run,Long,2,0,0,2,1,0,1
Structured State Management,Short,2,0,0,0,2,0,0
Data Canvas,Short,2,0,0,0,1,0,2
ASMR,Long,0,2,0,1,0,1,0
Utilizing LLM Multi-agent Framework,Short,0,2,0,0,0,1,0
GUIDE,Short,0,2,0,1,0,1,1
SANA,Long,0,0,2,0,0,0,2
Toward Resource Rational Dataset Search,Long,0,0,0,2,0,0,0
Be Fair!,Short,0,0,0,2,0,0,0
AgentTrails,Short,0,0,0,2,0,0,2
Querying with Conflicts of Interest,Short,0,0,0,2,0,0,0
