Source,Target,Value,Layer
GitLake,Data Management,1,Paper-Theme
Walk Before You Run,Data Management,1,Paper-Theme
Structured State Management,Data Management,1,Paper-Theme
Data Canvas,Data Management,1,Paper-Theme
ASMR,Agentic Systems,1,Paper-Theme
Utilizing LLM Multi-agent,Agentic Systems,1,Paper-Theme
GUIDE,Agentic Systems,1,Paper-Theme
SANA,Evaluation,1,Paper-Theme
Resource Rational Search,HITL,1,Paper-Theme
Be Fair!,HITL,1,Paper-Theme
AgentTrails,HITL,1,Paper-Theme
Conflicts of Interest,HITL,1,Paper-Theme
Data Management,Infrastructure,4,Theme-Insight
Data Management,HITL Integration,2,Theme-Insight
Agentic Systems,Multi-Agent,3,Theme-Insight
Agentic Systems,HITL Integration,1,Theme-Insight
Evaluation,Provenance,1,Theme-Insight
HITL,HITL Integration,4,Theme-Insight
HITL,Provenance,2,Theme-Insight
