word,frequency,theme
data,28,Data
agent,10,Agent
agents,10,Agent
agentic,6,Agent
provenance,6,Infrastructure
schema,6,Data
complex,6,General
tasks,6,General
framework,6,Infrastructure
step,6,General
discovery,5,Data
system,4,Infrastructure
analysis,4,Evaluation
users,4,Human
task,4,General
results,4,Evaluation
generation,4,Agent
multi,4,Agent
design,3,General
tables,3,Data
structured,3,Data
relevant,3,General
engineering,3,General
execution,3,Infrastructure
intermediate,3,General
candidate,3,General
lakes,3,Data
evaluation,3,Evaluation
actions,3,Agent
source,3,Data
search,3,General
workers,3,Human
fairness,3,Human
querying,3,Data
artifacts,3,Infrastructure
branches,2,Infrastructure
outputs,2,General
tools,2,General
analyze,2,General
systems,2,Infrastructure
correctness,2,Evaluation
dataset,2,Data
lakehouse,2,Data
pipelines,2,Infrastructure
exploration,2,Data
answers,2,General
human,2,Human
interface,1,Human
rational,1,Human
trust,1,Human
reliability,1,Evaluation
diagnostic,1,Evaluation
ablation,1,Evaluation
